Дата;Ставка;Инфляция;Цель
01.12.2025;16;5,59;4
01.11.2025;16,5;6,64;4
01.10.2025;16,5;7,71;4
01.09.2025;17;7,98;4
01.08.2025;18;8,14;4
01.07.2025;18;8,79;4
01.06.2025;20;9,4;4
01.05.2025;21;9,88;4
01.04.2025;21;10,23;4
01.03.2025;21;10,34;4
01.02.2025;21;10,06;4
01.01.2025;21;9,92;4
01.12.2024;21;9,52;4
01.11.2024;21;8,88;4
01.10.2024;21;8,54;4
01.09.2024;19;8,63;4
01.08.2024;18;9,05;4
01.07.2024;18;9,13;4
01.06.2024;16;8,59;4
01.05.2024;16;8,3;4
01.04.2024;16;7,84;4
01.03.2024;16;7,72;4
01.02.2024;16;7,69;4
01.01.2024;16;7,44;4
01.12.2023;16;7,42;4
01.11.2023;15;7,48;4
01.10.2023;15;6,69;4
01.09.2023;13;6;4
01.08.2023;12;5,15;4
01.07.2023;8,5;4,3;4
01.06.2023;7,5;3,25;4
01.05.2023;7,5;2,51;4
01.04.2023;7,5;2,31;4
01.03.2023;7,5;3,51;4
01.02.2023;7,5;10,99;4
01.01.2023;7,5;11,77;4
01.12.2022;7,5;11,94;4
01.11.2022;7,5;11,98;4
01.10.2022;7,5;12,63;4
01.09.2022;7,5;13,68;4
01.08.2022;8;14,3;4
01.07.2022;8;15,1;4
01.06.2022;9,5;15,9;4
01.05.2022;11;17,1;4
01.04.2022;17;17,83;4
01.03.2022;20;16,69;4
01.02.2022;20;9,15;4
01.01.2022;8,5;8,73;4
01.12.2021;8,5;8,39;4
01.11.2021;7,5;8,4;4
01.10.2021;7,5;8,13;4
01.09.2021;6,75;7,4;4
01.08.2021;6,5;6,68;4
01.07.2021;6,5;6,5;4
01.06.2021;5,5;6,5;4
01.05.2021;5;6;4
01.04.2021;5;5,5;4
01.03.2021;4,5;5,8;4
01.02.2021;4,25;5,7;4
01.01.2021;4,25;5,2;4
01.12.2020;4,25;4,9;4
01.11.2020;4,25;4,4;4
01.10.2020;4,25;4;4
01.09.2020;4,25;3,7;4
01.08.2020;4,25;3,6;4
01.07.2020;4,25;3,4;4
01.06.2020;4,5;3,2;4
01.05.2020;5,5;3;4
01.04.2020;5,5;3,1;4
01.03.2020;6;2,5;4
01.02.2020;6;2,3;4
01.01.2020;6,25;2,4;4
01.12.2019;6,25;3;4
01.11.2019;6,5;3,5;4
01.10.2019;6,5;3,8;4
01.09.2019;7;4;4
01.08.2019;7,25;4,3;4
01.07.2019;7,25;4,6;4
01.06.2019;7,5;4,7;4
01.05.2019;7,75;5,1;4
01.04.2019;7,75;5,2;4
01.03.2019;7,75;5,3;4
01.02.2019;7,75;5,2;4
01.01.2019;7,75;5;4
01.12.2018;7,75;4,3;4
01.11.2018;7,5;3,8;4
01.10.2018;7,5;3,5;4
01.09.2018;7,5;3,4;4
01.08.2018;7,25;3,1;4
01.07.2018;7,25;2,5;4
01.06.2018;7,25;2,3;4
01.05.2018;7,25;2,4;4
01.04.2018;7,25;2,4;4
01.03.2018;7,25;2,4;4
01.02.2018;7,5;2,2;4
01.01.2018;7,75;2,2;4
01.12.2017;7,75;2,5;4
01.11.2017;8,25;2,5;4
01.10.2017;8,25;2,7;4
01.09.2017;8,5;3;4
01.08.2017;9;3,3;4
01.07.2017;9;3,9;4
01.06.2017;9;4,4;4
01.05.2017;9,25;4,1;4
01.04.2017;9,75;4,1;4
01.03.2017;9,75;4,3;4
01.02.2017;10;4,6;4
01.01.2017;10;5;4
01.12.2016;10;5,4;4
01.11.2016;10;5,8;4
01.10.2016;10;6,1;4
01.09.2016;10;6,4;4
01.08.2016;10,5;6,9;4
01.07.2016;10,5;7,2;4
01.06.2016;10,5;7,5;4
01.05.2016;11;7,3;4
01.04.2016;11;7,3;4
01.03.2016;11;7,3;4
01.02.2016;11;8,1;4
01.01.2016;11;9,8;4
01.12.2015;11;12,9;4
01.11.2015;11;15;4
01.10.2015;11;15,6;4
01.09.2015;11;15,7;4
01.08.2015;11;15,8;4
01.07.2015;11,5;15,6;4
01.06.2015;11,5;15,3;4
01.05.2015;12,5;15,8;4
01.04.2015;14;16,4;4
01.03.2015;14;16,9;4
01.02.2015;15;16,7;4
01.01.2015;17;14,96;4
01.12.2014;17;11,35;4
01.11.2014;9,5;9,06;4
01.10.2014;8;8,29;4
01.09.2014;8;8,03;4
01.08.2014;8;7,55;4
01.07.2014;8;7,45;4
01.06.2014;7,5;7,81;4
01.05.2014;7,5;7,59;4
01.04.2014;7,5;7,33;4
01.03.2014;7;6,92;4
01.02.2014;5,5;6,21;4
01.01.2014;5,5;6,07;4
01.12.2013;5,5;6,47;4
01.11.2013;5,5;6,5;4
01.10.2013;5,5;6,27;4
01.09.2013;5,5;6,14;4
